,count,mean,std,min,25%,50%,75%,max,asimetria,curtosis,faltantes_n,faltantes_pct
right_psv_ratio,579.0,0.7042012855247021,0.12498197220973366,0.389473684210526,0.6101965668489735,0.699530516431924,0.7913632252844015,1.10999999999999,0.23679402590418072,-0.24888637129870528,29,4.769736842105264
left_1peak_systolic_velocity,576.0,33.01289930555556,9.169513254177598,7.96,26.8,33.0,38.6,86.1,0.39561703624736133,1.6247728551221168,32,5.263157894736842
left_2peak_systolic_velocity,576.0,23.500625,7.442880809144429,1.45,18.6,22.95,27.8,72.7,0.7205440772928465,3.1745938811126435,32,5.263157894736842
left_pulsatility_index,576.0,1.785034722222222,1.5736779402602796,0.55,1.43,1.69,1.98,29.6,15.225131785221432,251.7538840598886,32,5.263157894736842
left_psv_ratio,576.0,0.7162499585113032,0.12701259761098851,0.042817679558011,0.635926573426573,0.7115158204562175,0.7935863516102537,1.25746268656716,-0.17716690902133697,2.528656783183527,32,5.263157894736842
right_mean,579.0,0.5372400690846287,0.10367025538648168,0.344,0.4695,0.523,0.5765,1.123,1.671517522774544,5.124786550548555,29,4.769736842105264
left_mean,579.0,0.5504766839378238,0.09767567294458984,0.319,0.4795,0.539,0.61,1.1,0.9961655116221728,2.6072445702574045,29,4.769736842105264
pan,581.0,1.2220309810671257,0.5796223554182391,0.5,1.0,1.0,2.0,2.0,0.3562432117045481,-1.3916626322898125,27,4.440789473684211
verdura_ensalada,580.0,1.475,0.582395001544342,0.5,1.0,2.0,2.0,2.0,-0.35652417009346504,-1.5573215401399634,28,4.605263157894736
fruta,580.0,1.4956896551724137,0.6089987594502724,0.5,1.0,2.0,2.0,2.0,-0.5186891922557721,-1.4646550727248047,28,4.605263157894736
yogur_leche,580.0,1.2379310344827585,0.6277485570263535,0.5,0.5,1.0,2.0,2.0,0.20194308688830276,-1.6282207900548131,28,4.605263157894736
pasta_arroz,580.0,0.7508620689655172,0.410882972227103,0.5,0.5,0.5,1.0,2.0,1.9151326535235171,3.2258648144819735,28,4.605263157894736
